community,density
0,0.11764705882352941
1,0.05365853658536585
2,0.11764705882352941
3,0.062388591800356503
4,0.06153846153846154
5,1.0
6,0.15384615384615385
7,1.0
8,0.052854122621564484
9,0.039832285115303984
10,0.04716981132075472
11,0.06156156156156156
12,0.044326241134751775
13,0.2222222222222222
14,0.05398110661268556
15,0.11764705882352941
16,0.06349206349206349
17,0.2
18,0.2
19,0.028971028971028972
20,0.13333333333333333
21,0.3333333333333333
22,1.0
23,0.10526315789473684
24,1.0
25,1.0
26,1.0
27,1.0
28,0.6666666666666666
29,0.6666666666666666
30,0.09090909090909091
31,1.0
32,1.0
33,1.0
34,1.0
35,0.6666666666666666
36,1.0
37,1.0
38,0.6666666666666666
39,1.0
