node,x,y,cx,cy
0,0.03597757724151085,0.4069768067589334,0.03597757724151085,0.4069768067589334
1,0.2054180366852974,0.420989335442432,0.2054180366852974,0.420989335442432
2,-0.7254838650027798,-0.7226635815573722,-0.7254838650027798,-0.7226635815573722
3,-0.8961067276120191,0.6533693332106592,-0.8961067276120191,0.6533693332106592
4,0.8209062196515471,0.6164838174552333,0.8209062196515471,0.6164838174552333
5,0.05808127276229527,0.33314175789235145,0.05808127276229527,0.33314175789235145
6,1.0,-0.4205020394793151,1.0,-0.4205020394793151
7,-0.17242085538062363,-0.8979070299833293,-0.17242085538062363,-0.8979070299833293
8,-0.7312798198513772,-0.18939107066581765,-0.7312798198513772,-0.18939107066581765
9,0.4325130575744462,-0.8005526664359951,0.4325130575744462,-0.8005526664359951
10,0.08130511752362037,0.2376599322565061,0.08130511752362037,0.2376599322565061
11,-0.10891001359191738,0.3623954051057147,-0.10891001359191738,0.3623954051057147
