node,x_pos,y_pos
0,-0.10243233630908251,0.10749996431384157
1,0.8232944016295306,0.3066070938378812
2,-0.06796616057606357,0.08912646518919026
3,-0.060854727643660185,0.12006805151452547
4,-0.10064279663377974,0.12352751444668723
5,-0.09526214720831198,0.1391367426492353
6,0.7373982851886621,-0.5095184902732391
7,-0.794560087245213,-0.5982762293957232
8,-0.9496072466140293,0.24565463691658174
9,-0.4234721260684276,-0.7661057659812807
10,0.30944351635904377,-0.8256119383550119
11,-0.02767319417998131,0.11745393647774624
12,-0.09054041315200341,1.0
13,-0.08043914507203559,0.14347900215012382
14,-0.11087233640494198,0.09331972939729043
15,-0.11552755260467813,0.12756706702927476
16,-0.07920823174652154,0.11015501438094605
17,0.7199704457740308,0.7228098608800843
18,-0.07222822253793652,0.11720141641845942
19,0.8149911740634548,-0.13431378033692107
20,-0.058539171114903255,0.08940139458935079
21,-0.07391836131157332,0.1313642750904229
22,-0.08470946630184738,0.08498986847151793
23,0.38756760895771813,-0.5763703798875865
24,-0.08689189133572431,-0.877861833954278
25,-0.07506678714659042,0.1004582670602677
26,-0.06347075683177501,0.10702905231706648
27,-0.09023439311338019,0.09789949310845977
28,-0.08854788081998044,0.1133095719450876
