community,density
0,0.14893617021276595
1,1.0
2,0.044897959183673466
3,0.04053236539624924
4,0.0524390243902439
5,0.14285714285714285
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.14285714285714285
12,1.0
13,0.07056451612903226
14,0.04600301659125189
15,0.027326732673267327
16,0.030683090705487123
17,1.0
18,0.031736702909197764
19,1.0
20,0.06006006006006006
21,0.07635467980295567
22,0.07881773399014778
23,1.0
24,1.0
25,0.043859649122807015
26,0.05052790346907994
27,0.04862119013062409
28,0.04931972789115646
