community,density
0,0.005681818181818182
1,0.02252252252252252
2,0.002849002849002849
3,0.02857142857142857
4,0.0
5,0.007352941176470588
6,0.012987012987012988
7,0.007575757575757576
8,0.0
9,0.007905138339920948
10,0.0
11,0.01098901098901099
12,0.0
13,0.0
14,0.013513513513513514
15,0.026143790849673203
16,0.0196078431372549
17,0.0
18,0.0
19,0.0
20,0.03571428571428571
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.022222222222222223
32,0.0
33,0.0
34,0.008998435054773083
35,0.0
36,0.0
37,0.022222222222222223
38,0.007352941176470588
39,0.0017825311942959
40,0.0
41,0.011695906432748537
