,community,count
0,0,2
28,28,2
38,38,2
41,41,2
42,42,2
40,40,2
44,44,2
49,49,2
43,43,2
20,20,3
50,50,3
34,34,3
31,31,3
30,30,3
51,51,3
23,23,3
18,18,3
54,54,3
11,11,3
13,13,3
16,16,4
52,52,4
2,2,4
47,47,4
46,46,4
45,45,4
39,39,4
9,9,4
10,10,4
36,36,4
27,27,4
22,22,4
25,25,4
29,29,5
8,8,5
37,37,5
48,48,5
35,35,5
33,33,5
32,32,5
19,19,6
14,14,6
53,53,6
26,26,9
21,21,9
17,17,10
1,1,11
24,24,11
15,15,13
12,12,13
4,4,17
7,7,17
3,3,18
5,5,19
6,6,25
