community,density
0,0.3526315789473684
1,0.09014300306435138
2,0.12202380952380952
3,0.11101549053356283
4,0.20689655172413793
6,0.44155844155844154
7,0.05278643129110419
8,0.11463046757164404
10,0.06932052161976665
12,0.5428571428571428
13,1.0
14,0.5111111111111111
15,0.7818181818181819
16,0.5714285714285714
17,0.45098039215686275
20,1.0
21,0.12404870624048706
40,0.10017730496453901
24,0.3201581027667984
25,0.35
28,0.1978494623655914
30,0.2536231884057971
31,0.2679738562091503
32,0.11054421768707483
33,0.47435897435897434
35,1.0
36,1.0
37,0.301994301994302
38,0.5833333333333334
39,0.5151515151515151
41,1.0
42,0.29310344827586204
44,0.45054945054945056
45,0.34065934065934067
46,1.0
47,1.0
48,0.6
49,1.0
50,0.0
51,0.9047619047619048
52,1.0
53,1.0
54,1.0
55,1.0
57,1.0
58,0.8571428571428571
60,0.0
61,0.8333333333333334
62,1.0
63,0.6666666666666666
64,1.0
65,0.6666666666666666
66,1.0
68,1.0
70,0.6666666666666666
71,0.7333333333333333
72,1.0
73,0.8
74,1.0
75,1.0
76,0.6
77,1.0
78,1.0
79,1.0
80,0.7435897435897436
82,1.0
83,1.0
84,1.0
11,1.0
43,1.0
81,1.0
18,1.0
19,1.0
22,1.0
23,1.0
56,0.0
26,1.0
27,1.0
29,1.0
34,1.0
67,1.0
5,1.0
69,1.0
9,1.0
59,0.0
