community,density
0,0.1111111111111111
1,0.07126436781609195
2,0.07671957671957672
3,0.15384615384615385
4,0.057692307692307696
5,0.05547652916073969
6,0.14285714285714285
7,1.0
8,1.0
9,0.2857142857142857
10,0.4
11,0.2
12,1.0
13,0.2857142857142857
14,1.0
15,0.2222222222222222
16,0.14285714285714285
17,0.6666666666666666
18,1.0
19,1.0
20,0.5
21,0.6666666666666666
22,1.0
23,1.0
24,1.0
25,0.5
26,0.6666666666666666
27,1.0
28,0.6666666666666666
29,0.4
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
