,node,x_pos,y_pos
0,0,-0.47954680803451777,0.8182658860003774
1,1,0.7334307885575219,0.7171941541448745
2,2,0.518279638559137,0.87442315278142
3,3,-0.38942472602043204,-0.9539524422986573
4,4,-0.8482745374330452,-0.36826329540809927
5,5,-0.8846315089444517,-0.14509466414179395
6,6,0.14531216715808037,-0.9958995081665853
7,7,0.8687172896674131,-0.23624221448040073
8,8,-0.7970303677688437,-0.6277532641753417
9,9,0.948793503941997,-0.02655255431259945
10,10,0.4747543503728366,-0.764295117838017
11,11,-0.5430986071444274,-0.836121867259199
12,12,0.6173784700605438,0.6461639692694401
13,13,0.39802237263479867,0.8744352298310499
14,14,0.6255031777418241,-0.7527048809605659
15,15,0.5163862603517416,-0.9229765382562515
16,16,0.9833077715377605,-0.2009480064763289
17,17,0.8593808612161147,-0.5630169783227195
18,18,0.8254454243697751,-0.01500713674230116
19,19,0.7104480025456045,-0.588014669704478
20,20,-0.03511004956744581,-0.9402225784993162
21,21,-0.9671410304571028,0.23697256704548608
22,22,-1.0,-0.12759062923786357
23,23,0.014563845733363286,0.9947019958879112
24,24,0.7655103578274909,0.5700431584348592
25,25,-0.09904886345087822,0.9394868605996046
26,26,-0.8781133607590949,0.4162295453432571
27,27,-0.8105449759490841,0.5007597204085779
28,28,0.7256014200332379,-0.7571259286278892
29,29,-0.6757942341145666,-0.7429424376207426
30,30,0.3658916953031165,-0.8847340193378487
31,31,0.7783837228084944,0.36924044389769217
32,32,-0.40550047859547,-0.8079561622161862
33,33,-0.2915636783725449,0.8961971894165528
34,34,0.1914082882220683,0.9221042125900005
35,35,-0.7618857002562388,-0.5279570884296282
36,36,-0.15818453437909238,-0.9558005247874624
37,37,-0.6093058123010372,0.795081022893444
38,38,0.9326510938743842,-0.39391102258860555
39,39,0.9872843810547746,0.1568764210425001
40,40,-0.5706814182374325,-0.6541516924166559
41,41,-0.8903621360422299,0.30433116187147435
42,42,-0.7337638556854543,0.5754563018826457
43,43,-0.9768549759360369,0.11621125149143126
44,44,0.9163428126083998,0.3505081778393823
45,45,-0.5286532427769558,0.6562945946217299
46,46,-0.9518561757388242,-0.29228574634612825
47,47,-0.947010298027424,0.007879536595066561
48,48,0.8758749859002611,0.5076092280846829
49,49,0.23973018635141105,-0.8867405987758135
50,50,0.2970820284378837,0.9363582533311944
51,51,-0.2095680213359132,0.9740287585878966
52,52,-0.6882068373278096,0.681786673919283
53,53,0.5722125075585962,0.7722386753363698
54,54,-0.9233615945680614,-0.47753242588284883
55,55,-0.25642240745092104,-0.8825923276687647
56,56,0.9080170153037579,0.19240276023651603
57,57,-0.40786263797698363,0.9091525636357685
58,58,0.07445597485542436,-0.8748688372859322
59,59,0.7739189761866075,-0.4136079705716364
60,60,0.07471350387789852,0.904429661816175
