node,x_pos,y_pos
0,0.04988413276748855,0.18358724662099787
1,0.9294857748183729,0.02604207448299023
2,-0.4863116057383473,-0.8023128787846324
3,-0.8357858547630916,0.4530661881970368
4,-0.006529376660239492,0.10458060367494644
5,0.001086492684599609,0.040827914831212085
6,0.03573349469852887,0.03563751435265267
7,-0.25896086413238467,-0.8876321911419037
8,-0.6954584114742155,0.45029828585213333
9,0.1670411616424835,0.04085875387810302
10,0.4711761862331961,-0.8300325350116944
11,-0.5777185382142586,-0.6299287954232934
12,0.17902525416877726,0.8946379539471515
13,-0.8524364745747153,0.14075286935707967
14,0.07436383149439274,-0.026315729663007624
15,0.7411320548928777,-0.5714574354457347
16,-0.37524126417913756,0.9120258894292443
17,0.9082646885248218,0.503748223890279
18,-0.021114189079081098,-0.9410922925479761
19,0.07378032760231366,0.0758912885846445
20,-0.8837415199070907,-0.08834545341246565
21,-0.6481270352391194,0.7381803774887278
22,-0.18201388190827453,0.834466263313303
23,0.5223506618056611,-0.5932798454044179
24,-0.08997252554953514,0.000568773262757323
25,1.0,0.2099536533965871
26,0.7290230020999179,0.7444988193412456
27,0.4504267179987144,0.8667593387399869
28,-0.7675071092570174,-0.5411225865115006
29,-0.8700539797093308,-0.3177222549849212
30,0.1914458909767873,-0.8537344927761009
31,0.9256400711110815,-0.3035921592079799
32,0.06325797875419419,0.05000395864296033
33,0.037854908111630135,0.08018265903158953
