community,h_degree
0,1
1,0
2,3
3,10
4,0
5,39
6,1
7,2
8,27
9,21
10,7
11,3
12,3
13,46
14,2
15,34
16,22
17,31
18,17
19,1
20,6
21,25
22,10
23,13
24,0
25,24
26,1
27,2
28,11
29,3
30,4
31,1
32,6
33,28
34,1
35,14
36,35
37,25
38,2
39,2
40,25
41,5
42,16
43,0
44,16
45,3
46,2
47,4
48,1
49,2
50,2
51,19
52,7
53,6
54,3
55,4
56,1
57,1
58,4
59,1
60,1
61,9
62,3
63,2
64,2
65,6
66,3
67,3
68,6
69,1
70,3
71,2
72,2
73,5
74,0
75,0
76,1
77,0
78,1
79,12
80,5
81,4
82,3
83,15
84,2
85,7
86,8
87,9
88,2
89,5
90,1
91,8
92,1
93,6
94,1
95,10
96,6
97,3
98,12
99,1
100,9
101,3
102,1
103,4
104,0
105,0
106,1
107,2
108,2
109,3
110,2
111,1
112,1
113,2
114,0
115,1
116,1
117,5
118,4
119,2
120,1
121,3
122,17
123,2
124,4
125,2
126,4
127,2
128,1
129,2
130,1
131,4
132,2
133,1
134,7
135,1
136,0
137,4
138,2
139,3
140,3
141,0
142,0
143,0
144,7
145,2
146,2
147,2
148,1
149,1
150,4
151,3
152,4
153,7
154,3
155,4
156,2
157,1
158,2
159,3
160,0
161,0
162,3
163,2
164,0
165,1
166,2
167,5
168,2
169,6
170,1
171,3
