community,density
0,1.0
1,0.05809802012333658
2,0.06006006006006006
3,0.04949874686716792
4,0.07308377896613191
5,1.0
6,0.082010582010582
7,0.06342780026990553
8,0.1111111111111111
9,1.0
10,0.06666666666666667
11,1.0
12,0.38095238095238093
13,0.05084745762711865
14,1.0
15,1.0
16,0.06417112299465241
17,0.0784313725490196
18,0.6666666666666666
19,0.6666666666666666
20,1.0
21,1.0
22,1.0
23,1.0
24,0.6666666666666666
25,0.07526881720430108
26,1.0
27,1.0
28,0.3333333333333333
29,1.0
30,0.6666666666666666
