community,density
0,0.024193548387096774
1,0.019593613933236574
2,0.011494252873563218
3,0.030303030303030304
4,0.0
5,0.009523809523809525
6,0.026854219948849106
7,0.017391304347826087
8,0.010526315789473684
9,0.01935483870967742
10,0.0
11,0.025362318840579712
12,0.0
13,0.0
14,0.03333333333333333
15,0.026143790849673203
16,0.017316017316017316
17,0.0
18,0.0
19,0.0
20,0.05555555555555555
21,0.06666666666666667
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.030303030303030304
29,0.0
30,0.0
31,0.0
32,0.03636363636363636
33,0.0
34,0.022039377020276227
35,0.0
36,0.0
37,0.0
38,0.0033333333333333335
39,0.020731707317073172
40,0.038461538461538464
41,0.012307692307692308
