node,x,y,cx,cy
0,0.027654549417074046,0.08166494437447197,0.027654549417074046,0.08166494437447197
1,-0.04220971470278458,0.08981021522885012,-0.04220971470278458,0.08981021522885012
2,-0.05064680779280271,0.06602277713267965,-0.05064680779280271,0.06602277713267965
3,-0.016095911185439456,0.08765701733924218,-0.016095911185439456,0.08765701733924218
4,0.007657663922695684,0.3433645560855336,0.007657663922695684,0.3433645560855336
5,-0.003692703691978737,0.06184616884439036,-0.003692703691978737,0.06184616884439036
6,0.03383443993003826,0.05329201380599667,0.03383443993003826,0.05329201380599667
7,-0.02986896537124985,0.019866366332183496,-0.02986896537124985,0.019866366332183496
8,-0.01446087002783664,0.13762099576626788,-0.01446087002783664,0.13762099576626788
9,0.15906333226554362,-1.0,0.15906333226554362,-1.0
10,-0.08689588965979392,0.033335278379940284,-0.08689588965979392,0.033335278379940284
11,0.015660876896534406,0.02551966671044325,0.015660876896534406,0.02551966671044325
