node,x,y,cx,cy
0,0.005401951661235154,0.09299663825346138,0.005401951661235154,0.09299663825346138
1,-0.02291312293279312,0.08603997693804727,-0.02291312293279312,0.08603997693804727
2,-0.011058828502519345,0.09232349101633253,-0.011058828502519345,0.09232349101633253
3,-0.023198473399872584,0.09773916274340967,-0.023198473399872584,0.09773916274340967
4,-0.07106965000098915,0.05986071288448165,-0.07106965000098915,0.05986071288448165
5,-0.0008882140681667659,0.10336606727960594,-0.0008882140681667659,0.10336606727960594
6,-0.0013167461570148806,0.08632859377091326,-0.0013167461570148806,0.08632859377091326
7,-0.02250945469881943,0.11330374138291009,-0.02250945469881943,0.11330374138291009
8,-0.03372657616952612,0.08350716399186275,-0.03372657616952612,0.08350716399186275
9,0.2016027715343464,-1.0,0.2016027715343464,-1.0
10,-0.010452117952540219,0.10693492735651088,-0.010452117952540219,0.10693492735651088
11,-0.009871539313340214,0.07759952438246424,-0.009871539313340214,0.07759952438246424
