,community,density
0,0,0.375
1,1,0.17663817663817663
2,2,0.14439946018893388
3,3,1.0
4,4,1.0
5,5,0.18536585365853658
6,6,1.0
7,7,0.14444444444444443
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,0.5555555555555556
14,14,1.0
15,15,1.0
16,16,0.12477718360071301
17,17,0.45
18,18,0.6428571428571429
19,19,1.0
20,20,0.275
21,21,0.2523076923076923
22,22,0.2923076923076923
23,23,1.0
24,24,0.16748768472906403
25,25,1.0
26,26,1.0
27,27,0.3956043956043956
28,28,1.0
29,29,0.6666666666666666
30,30,0.6
31,31,0.6666666666666666
32,32,1.0
33,33,0.8
34,34,1.0
35,35,0.8333333333333334
36,36,0.8333333333333334
37,37,1.0
38,38,1.0
