community,density
0,0.06060606060606061
1,0.04163265306122449
2,0.6666666666666666
3,0.6666666666666666
4,1.0
5,1.0
6,1.0
7,0.03135135135135135
8,0.059743954480796585
9,1.0
10,0.04285714285714286
11,0.03319308087891538
12,0.0766488413547237
13,1.0
14,0.05365402405180388
15,0.0375
16,0.07258064516129033
17,0.6666666666666666
18,0.025637181409295353
19,1.0
20,0.05314009661835749
21,1.0
22,0.02337540906965872
23,0.06628787878787878
24,1.0
25,1.0
26,0.5
27,0.6666666666666666
28,0.08695652173913043
29,0.048726467331118496
30,1.0
