community,density
0,0.021438953488372093
1,1.0
2,0.029304029304029304
3,0.03776223776223776
4,0.0375462718138551
5,0.18181818181818182
6,0.035053554040895815
7,0.09195402298850575
8,0.028173628173628174
9,1.0
10,1.0
11,1.0
12,0.03561076604554866
13,1.0
14,1.0
15,0.0766488413547237
16,0.03834115805946792
17,0.0370843989769821
18,1.0
19,0.02722489132921528
20,1.0
21,0.06156156156156156
22,0.035278154681139755
23,0.6666666666666666
24,0.06190476190476191
25,0.035278154681139755
26,0.09956709956709957
