node,x,y,cx,cy
0,-0.048286269585979744,0.08974560718934554,-0.048286269585979744,0.08974560718934554
1,-0.01472674170938756,0.05743509348270927,-0.01472674170938756,0.05743509348270927
2,0.006204931990075681,0.0743718583895302,0.006204931990075681,0.0743718583895302
3,-0.0436282846695542,0.1263451535875439,-0.0436282846695542,0.1263451535875439
4,0.09960346794257185,0.20084867032541573,0.09960346794257185,0.20084867032541573
5,-0.0399323562511019,0.05857788117911992,-0.0399323562511019,0.05857788117911992
6,-0.01953894945148491,0.07481314450457209,-0.01953894945148491,0.07481314450457209
7,0.005304778474100293,0.045096075131245014,0.005304778474100293,0.045096075131245014
8,0.010774218357718437,0.09876913245380757,0.010774218357718437,0.09876913245380757
9,0.09906212590562515,-1.0,0.09906212590562515,-1.0
10,-0.03445731965883528,0.07761124400601328,-0.03445731965883528,0.07761124400601328
11,-0.020379601343747767,0.09638613975069761,-0.020379601343747767,0.09638613975069761
