node,centrality,community,density,eign,betwness,closeness,volatility,name,type
1535,1,0,0.3333333333333333,0.0123111349499962,0.0,0.4074074074074074,0.6666666666666666,ADM#1535,outgoing
1232,6,0,0.3333333333333333,0.1396640453179561,0.0818903318903319,0.4680851063829787,0.6666666666666666,ADM#1232,incoming
1098,8,0,0.3333333333333333,0.4592339365923978,0.093073593073593,0.5238095238095238,0.0,ADM#1098,
1168,1,1,0.4666666666666667,0.0067150402534158,0.0,0.2682926829268293,0.5,MED#1168,outgoing
1148,2,1,0.4666666666666667,0.0031845345840511,0.0,0.34375,0.0,MED#1148,
1260,3,1,0.4666666666666667,0.0148210253156461,0.0822510822510822,0.3492063492063492,0.5,MED#1260,
1157,4,1,0.4666666666666667,0.0336804703304845,0.0,0.4782608695652174,0.16666666666666666,MED#1157,outgoing
1660,4,1,0.4666666666666667,0.0045236351942797,0.0909090909090909,0.3548387096774194,0.6666666666666666,MED#1660,outgoing
1144,5,1,0.4666666666666667,0.0318147405116402,0.316017316017316,0.4888888888888889,0.0,MED#1144,
1114,2,2,0.4166666666666667,0.2108046354694254,0.0909090909090909,0.360655737704918,0.3333333333333333,NUR#1114,
1142,2,2,0.4166666666666667,0.020643338664168,0.0075757575757575,0.34375,1.0,NUR#1142,incoming
1181,3,2,0.4166666666666667,0.1140358011955669,0.0,0.4489795918367347,0.0,NUR#1181,
1149,3,2,0.4166666666666667,0.0727959860488191,0.0079365079365079,0.360655737704918,0.8333333333333334,NUR#1149,outgoing
1205,6,2,0.4166666666666667,0.1866531234902673,0.0995670995670995,0.4888888888888889,0.5,NUR#1205,
1109,6,2,0.4166666666666667,0.3411134097292558,0.0404040404040404,0.4782608695652174,0.6666666666666666,NUR#1109,
1295,7,2,0.4166666666666667,0.367278320254153,0.369047619047619,0.5238095238095238,0.0,NUR#1295,
1115,7,2,0.4166666666666667,0.5083960432798265,0.0645743145743145,0.5,0.0,NUR#1115,
1629,13,2,0.4166666666666667,0.3864830079874496,0.553030303030303,0.6666666666666666,0.16666666666666666,NUR#1629,
1352,1,3,0.0,0.0118914384293034,0.0,0.3333333333333333,0.16666666666666666,PAT#1352,outgoing
1469,2,3,0.0,0.0011926684884368,0.0,0.2716049382716049,0.16666666666666666,PAT#1469,
1365,2,3,0.0,0.0808193232953222,0.0,0.4150943396226415,0.16666666666666666,PAT#1365,outgoing
1378,2,3,0.0,0.0515620443317665,0.0115440115440115,0.4150943396226415,0.16666666666666666,PAT#1378,outgoing
1383,2,3,0.0,0.0240106199344053,0.2153679653679653,0.4313725490196078,0.0,PAT#1383,
