community,h_degree
0,48
1,33
2,52
3,20
4,3
5,3
6,2
7,0
8,9
9,2
10,59
11,0
12,31
13,1
14,40
15,28
16,18
17,38
18,4
19,31
20,5
21,1
22,3
23,4
24,3
25,29
26,28
27,4
28,1
29,24
30,3
31,4
32,3
33,2
34,2
35,31
36,5
37,9
38,1
39,3
40,4
41,1
42,32
43,13
44,4
45,11
46,3
47,13
48,3
49,5
50,7
51,7
52,13
53,24
54,1
55,6
56,3
57,20
58,5
59,11
60,4
61,9
62,6
63,3
64,13
65,8
66,1
67,2
68,1
69,4
70,1
71,5
72,0
73,0
74,2
75,18
76,2
77,2
78,2
79,2
80,2
81,2
82,3
83,4
84,3
85,3
86,4
87,0
88,4
89,3
90,3
91,3
92,1
93,1
94,4
95,11
96,3
97,4
98,3
99,1
100,1
101,3
102,5
103,1
104,5
105,2
106,2
107,8
108,1
109,2
110,1
111,4
112,0
113,5
114,1
115,2
