community,density
0,0.09477971121806739
1,0.10168350168350168
2,0.13649122807017544
3,0.10365853658536585
8,0.4444444444444444
26,0.0717154331612163
14,0.08724569640062597
35,0.06764946764946765
53,0.0675990675990676
10,0.09578947368421052
12,0.09774436090225563
13,1.0
29,0.12682926829268293
16,0.25
17,0.1767881241565452
19,0.19964349376114082
20,0.39285714285714285
57,0.08956228956228957
42,0.13297872340425532
24,1.0
25,0.156794425087108
28,1.0
31,0.5
15,0.16042780748663102
33,1.0
36,0.6
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
43,0.4725274725274725
44,0.8
45,0.2134387351778656
46,1.0
47,0.3235294117647059
50,0.3717948717948718
52,0.4835164835164835
54,1.0
55,0.5238095238095238
56,1.0
58,0.7333333333333333
59,0.3181818181818182
60,1.0
61,0.6888888888888889
62,0.5714285714285714
63,1.0
64,0.2619047619047619
65,0.3333333333333333
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.0
73,0.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,0.0
88,0.9
89,0.6666666666666666
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,0.4945054945054945
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,0.6
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,0.0
113,1.0
115,1.0
9,1.0
11,0.0
48,1.0
49,1.0
18,0.6
51,1.0
114,1.0
21,1.0
22,1.0
23,1.0
27,1.0
30,1.0
32,1.0
34,1.0
4,1.0
5,1.0
6,1.0
7,0.0
