community,density
0,0.08864864864864865
1,0.06225868725868726
30,0.08181818181818182
3,0.08824188129899216
4,0.12626262626262627
5,0.12828282828282828
6,0.10466269841269842
7,0.0823293172690763
8,0.12119013062409288
9,0.09824561403508772
10,0.10650281618023553
11,0.08909995477159656
12,1.0
13,0.09730848861283643
14,0.1229260935143288
15,0.13343253968253968
16,0.13122171945701358
17,0.8
18,0.6
19,0.06829896907216494
20,0.0
21,0.32967032967032966
22,0.1694915254237288
23,1.0
24,0.15714285714285714
25,0.1336963097398669
26,0.43137254901960786
27,0.18095238095238095
28,0.6666666666666666
29,0.7
31,1.0
32,0.46153846153846156
33,1.0
34,0.1649048625792812
35,0.3333333333333333
36,1.0
37,0.3602941176470588
38,0.3333333333333333
39,1.0
40,1.0
41,0.8333333333333334
42,1.0
43,0.6666666666666666
44,0.7333333333333333
45,1.0
46,0.3238095238095238
47,1.0
48,0.6666666666666666
49,1.0
50,0.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,0.75
61,0.6444444444444445
62,0.5833333333333334
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
2,1.0
