node,x,y,cx,cy
0,-0.0037916613596975027,0.10648740073117334,-0.0037916613596975027,0.10648740073117334
1,-0.027752985004498503,0.08081527967660941,-0.027752985004498503,0.08081527967660941
2,-0.013088753224890002,0.08389635164125202,-0.013088753224890002,0.08389635164125202
3,-0.021420019069419063,0.0931080996146256,-0.021420019069419063,0.0931080996146256
4,-0.065189715637693,0.1261638136999307,-0.065189715637693,0.1261638136999307
5,-0.001644686603924219,0.08259728755437036,-0.001644686603924219,0.08259728755437036
6,-0.0008530966258275169,0.09661285167197417,-0.0008530966258275169,0.09661285167197417
7,-0.024074050170958292,0.06391061051062144,-0.024074050170958292,0.06391061051062144
8,-0.03475376330641139,0.09374441213273295,-0.03475376330641139,0.09374441213273295
9,0.21412378441631655,-1.0,0.21412378441631655,-1.0
10,-2.4831237704184224e-05,0.0643631290221925,-2.4831237704184224e-05,0.0643631290221925
11,-0.021530222175292997,0.10830076374451704,-0.021530222175292997,0.10830076374451704
