community,density
0,0.06218487394957983
1,1.0
2,0.04343971631205674
3,0.08307692307692308
4,0.10952380952380952
5,0.06439393939393939
6,0.07142857142857142
7,0.14285714285714285
8,0.2857142857142857
9,0.18181818181818182
10,0.1111111111111111
11,0.0659536541889483
12,0.1
13,0.07407407407407407
14,0.1
15,1.0
16,1.0
17,0.6666666666666666
18,0.2222222222222222
19,1.0
20,0.18181818181818182
21,0.11764705882352941
22,0.4
23,1.0
24,0.4
25,0.5
26,0.4
27,1.0
28,0.09090909090909091
29,1.0
30,0.6666666666666666
31,0.6666666666666666
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
